Sr No,Task Name,Description,Status,Concept They Will Learn
1,Set up the e-commerce backend,Create the Spring Boot Maven project for an e-commerce platform and verify that the application starts successfully.,Not Started,"Spring Boot, Maven, application lifecycle"
2,Define e-commerce package structure,"Organize the application into controller, service, repository, entity, dto, mapper, exception, security, config and event packages.",Not Started,"Layered architecture, separation of concerns"
3,Configure environments,"Create local, test and production profiles for database, Redis and Kafka settings.",Not Started,"Spring profiles, configuration management"
4,Configure database connection,Connect the application to MySQL/PostgreSQL and verify that the backend can access the e-commerce database.,Not Started,"JDBC, DataSource, Spring Boot configuration"
5,Create database migration baseline,"Create the initial schema for users, addresses, categories, products, orders and order_items.",Not Started,"Flyway, schema versioning, relational modeling"
6,Create User entity,Map customer account data from the ER diagram and enforce required fields and unique email.,Not Started,"JPA entity, constraints"
7,Create User repository,Provide persistence operations required to register customers and retrieve customer accounts.,Not Started,Spring Data JPA
8,Create customer registration API,Build an API allowing a new customer to create an account with name and email.,Not Started,"REST API, request DTOs"
9,Validate registration input,Reject invalid names and malformed or missing email addresses before persistence.,Not Started,"Bean Validation, @Valid"
10,Handle duplicate customer email,Return a business-friendly error when a customer attempts to register an existing email.,Not Started,"Unique constraint, exception handling"
11,Create customer login foundation,Create the service flow that retrieves a customer account for authentication.,Not Started,"Service layer, authentication flow"
12,Create Address entity,Map customer shipping addresses using the User-to-Address relationship.,Not Started,"JPA relationships, foreign keys"
13,Add customer address API,Allow a logged-in customer to add a shipping address.,Not Started,"REST, DTOs, authorization boundary"
14,List customer addresses,Return all addresses belonging only to the requesting customer.,Not Started,"Repository queries, ownership checks"
15,Update customer address,Allow customers to correct address information before placing an order.,Not Started,"PUT/PATCH semantics, validation"
16,Delete customer address,Allow customers to remove an address that is no longer required.,Not Started,"DELETE, referential integrity"
17,Create Category entity,"Represent product categories such as Electronics, Books or Clothing.",Not Started,"JPA entity, relational modeling"
18,Create category administration API,Allow authorized administrators to create and update product categories.,Not Started,"CRUD, authorization"
19,Create Product entity,"Map product name, description, price, category and available stock from the ER diagram.",Not Started,"JPA, BigDecimal, relationships"
20,Create product administration API,Allow administrators to create and update products that customers can purchase.,Not Started,"CRUD, service layer"
21,Assign product to category,Ensure every sellable product is associated with a valid category.,Not Started,"Many-to-one relationship, foreign keys"
22,Build product listing API,Allow customers to browse the available product catalog.,Not Started,"REST, repository queries"
23,Add product pagination,Prevent large product catalogs from being returned in one response.,Not Started,"Pageable, pagination"
